t,S,I,R,run_id
0.0,14,1,0,1
5.3940905404075306,13,2,0,1
5.630727400280547,12,3,0,1
8.679971611593663,11,4,0,1
8.778317167834714,11,3,1,1
9.168690560550795,11,2,2,1
10.00006065021208,10,3,2,1
10.70659737621436,9,4,2,1
12.228943832435586,8,5,2,1
12.420342580303405,7,6,2,1
13.031158982594935,6,7,2,1
13.300578575282486,5,8,2,1
13.430888357215824,4,9,2,1
14.140459268062562,3,10,2,1
14.347446543024118,2,11,2,1
14.849537305344949,2,10,3,1
17.3838300034129,2,9,4,1
18.663071491725475,2,8,5,1
20.332443648590026,1,9,5,1
21.37578321172589,1,8,6,1
22.036447624909854,1,7,7,1
24.28654547951624,1,6,8,1
24.54995184953788,1,5,9,1
24.619513380362957,1,4,10,1
25.81105553006566,1,3,11,1
30.52205453503576,1,2,12,1
30.93424524937606,1,1,13,1
37.44504841460669,1,0,14,1
0.0,14,1,0,2
7.84967846419967,13,2,0,2
9.112623335679217,12,3,0,2
9.503274745548683,12,2,1,2
9.845667749630591,12,1,2,2
10.991745959951015,12,0,3,2
