time,infector,infectee,run_id
0.0,,mw,1
0.18131183257369635,mw,bz,1
0.37948783510928624,bz,dv,1
0.3803357749230642,mw,il,1
0.4550690307720681,mw,zb,1
0.46367308310301086,dv,qr,1
0.5123745980959233,il,ks,1
0.5584459690640093,bz,by,1
0.5588522095587776,mw,gv,1
0.5828661686161267,ks,xt,1
0.6690004194193385,il,sq,1
0.7456575051920007,zb,oo,1
1.1234619101615115,zb,qa,1
1.168249651535753,bz,vd,1
1.3043099153419775,xt,oh,1
0.0,,dv,2
0.32299645020577983,dv,xt,2
0.3270041953860906,xt,gv,2
0.37102260539107645,dv,by,2
0.5005389335394472,xt,il,2
0.529879938235653,il,qa,2
0.6417729067345059,il,oh,2
0.6809110734309844,oh,oo,2
0.6914998942499743,oh,mw,2
0.7857291106624029,mw,zb,2
0.9069943834434913,oo,sq,2
0.9765113209706574,oh,qr,2
1.0317883145425781,mw,vd,2
1.1565824462262089,mw,bz,2
1.525074096075926,il,ks,2
